title,noun,count
감쪽같은 그녀,공감,1
감쪽같은 그녀,개연,1
감쪽같은 그녀,성도,1
감쪽같은 그녀,다소,1
감쪽같은 그녀,전형,1
감쪽같은 그녀,마음,1
감쪽같은 그녀,신파,1
감쪽같은 그녀,임플란트,1
감쪽같은 그녀,경험,1
감쪽같은 그녀,대해,1
감쪽같은 그녀,기준,1
감쪽같은 그녀,요리,1
감쪽같은 그녀,갈릴,1
감쪽같은 그녀,왓챠,1
감쪽같은 그녀,네티즌,1
감쪽같은 그녀,깜짝,1
감쪽같은 그녀,나이,1
감쪽같은 그녀,인지,1
감쪽같은 그녀,반대,1
감쪽같은 그녀,보아,1
감쪽같은 그녀,동화,1
감쪽같은 그녀,장르,1
감쪽같은 그녀,배우,1
감쪽같은 그녀,연기,1
감쪽같은 그녀,시대,1
감쪽같은 그녀,감정,1
감쪽같은 그녀,자극,1
감쪽같은 그녀,과정,1
감쪽같은 그녀,극단,1
감쪽같은 그녀,연출,1
감쪽같은 그녀,감동,1
감쪽같은 그녀,열광,1
감쪽같은 그녀,이야기,1
강변호텔,영환,22
강변호텔,아들,14
강변호텔,여인,10
강변호텔,호텔,7
강변호텔,찻집,6
강변호텔,대화,5
강변호텔,시인,4
강변호텔,서로,4
강변호텔,작품,4
강변호텔,모습,4
강변호텔,연주,3
강변호텔,아버지,3
강변호텔,과정,3
강변호텔,상희,3
강변호텔,전화,3
강변호텔,경수,3
강변호텔,동생,2
강변호텔,통해,2
강변호텔,인물,2
강변호텔,대조,2
강변호텔,죽음,2
강변호텔,로서,2
강변호텔,기도,2
강변호텔,연출,2
강변호텔,만남,2
강변호텔,공간,2
강변호텔,목적,2
강변호텔,순간,2
강변호텔,동안,2
강변호텔,설왕설래,2
강변호텔,만날,2
강변호텔,객실,2
강변호텔,병수,2
강변호텔,이후,2
강변호텔,설정,2
강변호텔,영화감독,1
강변호텔,수로,1
강변호텔,이름,1
강변호텔,얘기,1
강변호텔,계산,1
강변호텔,커피,1
강변호텔,자체,1
강변호텔,악의,1
강변호텔,논쟁,1
강변호텔,작가,1
강변호텔,명성,1
강변호텔,시비,1
강변호텔,배경,1
강변호텔,기색,1
강변호텔,구도,1
갤버스턴,로이,6
갤버스턴,작품,6
갤버스턴,록키,6
갤버스턴,지옥,4
